title,price,price_per_sqft,carpet_area,super_area,area,bedrooms,bathrooms,floor,age,furnishing,property_type,locality,society,builder,possession,parking,facing,amenities,description,agent_name,agent_contact,property_url,image_urls,latitude,longitude,posted_date,property_id
3 BHK Apartment for Sale in Phase 1 DLF Gurgaon,"₹3 Cr₹15,000 per sqft",,,,1800,3,,,,Furnished,3 BHK Apartment for Sale in Phase 1 DLF Gurgaon,,,,,,,,,,,https://www.magicbricks.com/dlf-city-plot-phase-1-dlf-phase-1-gurgaon-pdpid-4d4235303934333035,,,,,4235303934333035
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,"₹4.62 Cr₹18,000 per sqft",,,,2570,3,,,,Semi Furnished,3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,Dwarka Expressway,,,,,,,,,,https://www.magicbricks.com/indiabulls-estate-and-club-dwarka-expressway-gurgaon-pdpid-4d4235343237333637,,,,,4235343237333637
2 BHK Apartment for Sale in Sector 68 Gurgaon,"₹2.12 Cr₹14,068 per sqft",,,,1325,2,,3,,Unfurnished,2 BHK Apartment for Sale in Sector 68 Gurgaon,Sector 68,,,,,,,,,,https://www.magicbricks.com/m3m-marina-sector-68-gurgaon-pdpid-4d4235303732323235,,,,,4235303732323235
4 BHK Villa for Sale in Sector 72 Gurgaon,"₹6.75 Cr₹20,149 per sqft",,,,3350,4,,1,,Semi Furnished,4 BHK Villa for Sale in Sector 72 Gurgaon,Sector 72,,,,,,,,,,https://www.magicbricks.com/tata-primanti-villas-sector-72-gurgaon-pdpid-4d4235323835333431,,,,,4235323835333431
3 BHK Apartment for Sale in Sector 79 Gurgaon,"₹1.65 Cr₹12,360 per sqft",,,,1335,3,,26,,Semi Furnished,3 BHK Apartment for Sale in Sector 79 Gurgaon,Sector 79,,,,,,,,,,https://www.magicbricks.com/signature-global-city-79b-sector-79-gurgaon-pdpid-4d4235343137363037,,,,,4235343137363037
"4 BHK Apartment for Sale in Fazilpur Jharsa, Sector 72, Sohna Road Gurgaon","₹6 Cr₹20,654 per sqft",,,,2080,4,,,,Semi Furnished,"4 BHK Apartment for Sale in Fazilpur Jharsa, Sector 72, Sohna Road Gurgaon",Sohna Road,,,,,,,,,,https://www.magicbricks.com/tata-primanti-fazilpur-jharsa-gurgaon-pdpid-4d4235303030313431,,,,,4235303030313431
"4 BHK Builder Floor for Sale in Malibu Town, Sector 47 Gurgaon","₹6.50 Cr₹14,739 per sqft",,,,3600,4,,4,,Unfurnished,"4 BHK Builder Floor for Sale in Malibu Town, Sector 47 Gurgaon",Sector 47,,,,,,,,,,https://www.magicbricks.com/modern-luxurious-floors-at-malibu-town-malibu-town-gurgaon-pdpid-4d4235343232393333,,,,,4235343232393333
4 BHK Apartment for Sale in Sector 90 Gurgaon,"₹3.30 Cr₹14,660 per sqft",,,,1800,4,,7,,Semi Furnished,4 BHK Apartment for Sale in Sector 90 Gurgaon,Sector 90,,,,,,,,,,https://www.magicbricks.com/dlf-regal-gardens-sector-90-gurgaon-pdpid-4d4235303238333839,,,,,4235303238333839
3 BHK Apartment for Sale in Sector 112 Gurgaon,"₹3.80 Cr₹15,079 per sqft",,,,2520,3,,13,,Semi Furnished,3 BHK Apartment for Sale in Sector 112 Gurgaon,Sector 112,,,,,,,,,,https://www.magicbricks.com/tata-gurgaon-gateway-sector-112-gurgaon-pdpid-4d4235303239353935,,,,,4235303239353935
3 BHK Apartment for Sale in Sector 84 Gurgaon,"₹1.95 Cr₹9,750 per sqft",,,,14009,3,,2,,Unfurnished,3 BHK Apartment for Sale in Sector 84 Gurgaon,Sector 84,,,,,,,,,,https://www.magicbricks.com/ss-almeria-sector-84-gurgaon-pdpid-4d4235303137373033,,,,,4235303137373033
3 BHK Apartment for Sale in Sector 109 Gurgaon,"₹2.25 Cr₹10,335 per sqft",,,,1806,3,,7,,Unfurnished,3 BHK Apartment for Sale in Sector 109 Gurgaon,Sector 109,,,,,,,,,,https://www.magicbricks.com/brisk-lumbini-terrace-homes-sector-109-gurgaon-pdpid-4d4235303233313235,,,,,4235303233313235
4 BHK Apartment for Sale in Sector 90 Gurgaon,"₹3 Cr₹11,001 per sqft",,,,2727,4,1,,,Semi Furnished,4 BHK Apartment for Sale in Sector 90 Gurgaon,Sector 90,,,,,,,,,,https://www.magicbricks.com/dlf-new-town-heights-1-sector-90-gurgaon-pdpid-4d4235303836383036,,,,,4235303836383036
3 BHK Apartment for Sale in Sector 48 Gurgaon,"₹7 Cr₹28,409 per sqft",,,,2000,3,,,,Furnished,3 BHK Apartment for Sale in Sector 48 Gurgaon,Sector 48,,,,,,,,,,https://www.magicbricks.com/bella-vista-central-park-2-sector-48-gurgaon-pdpid-4d4235313333303631,,,,,4235313333303631
5 BHK Apartment for Sale in Sector 106 Gurgaon,"₹5.50 Cr₹12,941 per sqft",,,,4250,5,,24,,Semi Furnished,5 BHK Apartment for Sale in Sector 106 Gurgaon,Sector 106,,,,,,,,,,https://www.magicbricks.com/paras-dews-sector-106-gurgaon-pdpid-4d4235303130333033,,,,,4235303130333033
8 BHK  House for Sale in Part 2 Sector 15 Gurgaon,"₹3.10 Cr₹23,204 per sqft",,,,1335,8,,,,Unfurnished,8 BHK  House for Sale in Part 2 Sector 15 Gurgaon,Sector 15,,,,,,,,,,https://www.magicbricks.com/friends-colony-sector-15-part-2-gurgaon-pdpid-4d4235303830343131,,,,,4235303830343131
