title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
2 BHK Apartment for Sale in Rail Vihar Sector 56 Gurgaon,28.7 Lac,800 sqft,,2,26,2025-08-13 10:20:07.645385,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],2,,2 BHK,Furnished,,,,,,,,Resale,,59.1,[],True
3 BHK Apartment for Sale in Sarswati Kunj 2 Gurgaon,87.9 Lac,2450 sqft,https://www.magicbricks.com/adhunik-society-sarswati-kunj-ii-gurgaon-pdpid-4d4235303635393138,2,27,2025-08-13 10:20:07.646511,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,,,Adhunik Society,Ready to Move,,,,Resale,,72.7,[],True
3 BHK Builder Floor for Sale in Block D Sector 50 Gurgaon,1.02 Cr,1728 sqft,,2,28,2025-08-13 10:20:07.648749,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,Read more,,,,,,,Resale,,63.6,[],True
5 BHK Builder Floor for Sale in Block D Sector 50 Gurgaon,2 Cr,300 sqyrd,,2,29,2025-08-13 10:20:07.650991,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,5 BHK,Semi-Furnished,Read more,,,,,,,Resale,,63.6,[],True
"3 BHK Apartment for Sale in Tikri, Sector 48, Sohna Road Gurgaon",2.82 Cr,3325 sqft,https://www.magicbricks.com/central-park-2-tikri-gurgaon-pdpid-4d4235303137343035,2,30,2025-08-13 10:20:07.652261,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Furnished,,,Central Park 2,Ready to Move,,,,Resale,,72.7,[],True
"3 BHK Apartment for Sale in Tikri, Sector 48, Sohna Road Gurgaon",2.37 Cr,2800 sqft,https://www.magicbricks.com/central-park-2-tikri-gurgaon-pdpid-4d4235303137343035,3,1,2025-08-13 10:20:11.701407,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Unfurnished,,,Central Park 2,Ready to Move,,,,Resale,,72.7,[],True
3 BHK Builder Floor for Sale in Sector 25 Gurgaon,84.3 Lac,1423 sqft,,3,2,2025-08-13 10:20:11.703731,Posted: Today,2025-08-13 12:00:00.000000,False,standard,[],3,,3 BHK,Semi-Furnished,Read more,,,,,,,Resale,,63.6,[],True
2 BHK Apartment for Sale in Sector 40 Gurgaon,62 Lac,65 sqyrd,,3,3,2025-08-13 10:20:11.706972,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],2,1,2 BHK,Semi-Furnished,1 out of 4,,,Ready to Move,North - East,,Freehold,Resale,Main Road,95.5,[],True
2 BHK Apartment for Sale in Sector 79 Gurgaon,1.35 Cr,628 sqft,https://www.magicbricks.com/m3m-antalya-hills-phase-ii-sector-79-gurgaon-pdpid-4d4235333934313039,3,4,2025-08-13 10:20:11.708389,Updated today,2025-08-13 12:00:00.000000,False,standard,[],2,2,2 BHK,Semi-Furnished,2 out of 4,,M3M Antalya Hills Phase II,,East,"1 Covered,",,Resale,"Garden/Park, Pool, Main Road",90.9,[],True
3 BHK Apartment for Sale in Sector 89 Gurgaon,1.30 Cr,1320 sqft,https://www.magicbricks.com/tulip-petals-sector-89-gurgaon-pdpid-4d4235303137313632,3,5,2025-08-13 10:20:11.709684,Updated today,2025-08-13 12:00:00.000000,False,standard,[],2,3,3 BHK,Unfurnished,4 out of 11,,Tulip Petals,Ready to Move,,,,Resale,,81.8,[],True
2 BHK Apartment for Sale in Palam Vihar Gurgaon,85 Lac,1145 sqft,https://www.magicbricks.com/cosmos-executive-apartment-palam-vihar-gurgaon-pdpid-4d4235303031303735,3,6,2025-08-13 10:20:11.711052,Updated today,2025-08-13 12:00:00.000000,False,standard,[],2,2,2 BHK,Unfurnished,15 out of 17,,Cosmos Executive Apartment,Ready to Move,,,,Resale,"Garden/Park, Main Road",86.4,[],True
4 BHK Apartment for Sale in Sector 106 Gurgaon,5.70 Cr,1692 sqft,https://www.magicbricks.com/elan-the-presidential-sector-106-gurgaon-pdpid-4d4235333737333031,3,7,2025-08-13 10:20:11.712499,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],5,3,4 BHK,Semi-Furnished,22 out of 32,,Elan The Presidential,,East,2 Covered,Freehold,Resale,"Garden/Park, Pool, Main Road",104.5,[],True
2 BHK House for Sale in Shivaji Park Gurgaon,93 Lac,468 sqft,,3,8,2025-08-13 10:20:11.715722,Updated today,2025-08-13 12:00:00.000000,False,standard,[],1,2,2 BHK,Unfurnished,2 out of 2,,,Ready to Move,South,,Freehold,New Property,Main Road,86.4,[],True
Plot/Land for Sale in Sector 33 Gurgaon,9.95 Cr,4536 sqft,,3,9,2025-08-13 10:20:11.718058,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],,,Plot,,,,,,,,Freehold,Resale,,63.6,[],True
2 BHK Apartment for Sale in Sector 68 Gurgaon,1.10 Cr,800 sqft,https://www.magicbricks.com/supertech-hues-sector-68-gurgaon-pdpid-4d4235303430323034,3,10,2025-08-13 10:20:11.719430,Updated today,2025-08-13 12:00:00.000000,False,standard,[],2,2,2 BHK,Unfurnished,1 out of 24,,Supertech Hues,Ready to Move,North,"1 Covered,",Freehold,Resale,,95.5,[],True
3 BHK Apartment for Sale in Block G Rajendra Park Gurgaon,55 Lac,928 sqft,,3,11,2025-08-13 10:20:11.722793,Updated 7 hours ago,2025-08-13 03:20:11.721740,False,standard,[],3,1,3 BHK,Semi-Furnished,2 out of 3,,,Ready to Move,North - East,1 Covered,Freehold,Resale,Main Road,90.9,[],True
2 BHK Builder Floor for Sale in Sector 89 Gurgaon,99 Lac,1103 sqft,https://www.magicbricks.com/smart-world-gems-sector-89-gurgaon-pdpid-4d4235333234333739,3,12,2025-08-13 10:20:11.723880,Updated 6 hours ago,2025-08-13 04:20:11.723145,False,standard,[],2,,2 BHK,Semi-Furnished,2 out of 4,,Smart World Gems,,,,,Resale,,72.7,[],True
2 BHK House for Sale in Sultanpur Gurgaon,28 Lac,540 sqft,,3,13,2025-08-13 10:20:11.727101,Updated 6 hours ago,2025-08-13 04:20:11.725878,False,standard,[],2,,2 BHK,Semi-Furnished,,,,Ready to Move,,,Freehold,Resale,,68.2,[],True
4 BHK Apartment for Sale in Sector 84 Gurgaon,1.95 Cr,1525 sqft,,3,14,2025-08-13 10:20:11.729590,Updated 6 hours ago,2025-08-13 04:20:11.728768,False,standard,[],3,,4 BHK,Semi-Furnished,Ground out of 3,,,Ready to Move,,,,Resale,,68.2,[],True
3 BHK Apartment for Sale in Sector 32 Sohna Gurgaon,2.85 Cr,1590 sqft,https://www.magicbricks.com/central-park-aqua-front-towers-sohna-sector-32-gurgaon-pdpid-4d4235313137373139,3,15,2025-08-13 10:20:11.730882,Updated today,2025-08-13 12:00:00.000000,False,standard,[],3,4,3 BHK,Semi-Furnished,7 out of 14,,Central Park Aqua Front Towers,Ready to Move,,1 Covered,Freehold,Resale,Pool,95.5,[],True
3 BHK Apartment for Sale in Sector 56 Gurgaon,1.23 Cr,1550 sqft,https://www.magicbricks.com/gurugram-cghs-sector-56-gurgaon-pdpid-4d4235303131333635,3,16,2025-08-13 10:20:11.732390,Updated 6 hours ago,2025-08-13 04:20:11.731375,False,standard,[],3,3,3 BHK,Semi-Furnished,6 out of 8,,Gurugram CGHS,Ready to Move,North - East,,Freehold,Resale,Main Road,95.5,[],True
2 BHK Apartment for Sale in Sector 89 Gurgaon,1.43 Cr,1103 sqft,https://www.magicbricks.com/smart-world-gems-sector-89-gurgaon-pdpid-4d4235333234333739,3,17,2025-08-13 10:20:11.733831,Updated 6 hours ago,2025-08-13 04:20:11.732838,False,standard,[],2,2,2 BHK,Unfurnished,1 out of 4,,Smart World Gems,,North,1 Covered,Freehold,Resale,Main Road,95.5,[],True
4 BHK Apartment for Sale in Sector 63 Gurgaon,7.25 Cr,2800 sqft,https://www.magicbricks.com/the-sixty-three-sector-63-gurgaon-pdpid-4d4235333934323635,3,18,2025-08-13 10:20:11.735198,Updated 5 hours ago,2025-08-13 05:20:11.734251,True,premium,"['text_premium', 'text_luxury']",5,4,4 BHK,Furnished,20 out of 40,,THE SIXTY THREE,,North - East,3 Covered,Freehold,Resale,Garden/Park,104.5,[],True
3 BHK Apartment for Sale in Gwal Pahari Gurgaon,1.52 Cr,1300 sqft,https://www.magicbricks.com/ansal-valley-view-estate-gwal-pahari-gurgaon-pdpid-4d4235303031323039,3,19,2025-08-13 10:20:11.736782,Updated 5 hours ago,2025-08-13 05:20:11.735594,True,premium,['text_premium'],2,2,3 BHK,Semi-Furnished,1 out of 17,,Ansal Valley View Estate,Ready to Move,North,1 Open,Freehold,Resale,,104.5,[],True
"4 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon",5.50 Cr,2125 sqft,,3,20,2025-08-13 10:20:11.740085,Updated 5 hours ago,2025-08-13 05:20:11.738978,True,premium,['text_premium'],4,2,4 BHK,Semi-Furnished,1 out of 4,,,Ready to Move,East,"1 Covered,",Freehold,New Property,"Garden/Park, Main Road",100.0,[],True
3 BHK Apartment for Sale in Phase 2 Greenopolis Gurgaon,2 Cr,1450 sqft,https://www.magicbricks.com/orris-3c-greenopolis-sector-89-gurgaon-pdpid-4d4235303238343130,3,21,2025-08-13 10:20:11.741622,Updated 5 hours ago,2025-08-13 05:20:11.740631,True,premium,['text_premium'],3,3,3 BHK,Unfurnished,14 out of 14,,Orris 3c Greenopolis,Ready to Move,West,,Leasehold,New Property,Garden/Park,104.5,[],True
3 BHK Apartment for Sale in Dwarka Expressway Gurgaon,2.60 Cr,2066 sqft,https://www.magicbricks.com/godrej-oasis-dwarka-expressway-gurgaon-pdpid-4d4235303431363339,3,22,2025-08-13 10:20:11.743064,Updated 5 hours ago,2025-08-13 05:20:11.742033,True,premium,['text_premium'],3,4,3 BHK,Semi-Furnished,11 out of 18,,Godrej Oasis,Ready to Move,Read more,2 Covered,Freehold,Resale,Garden/Park,109.1,[],True
"4 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon",2.95 Cr,215 sqyrd,,3,23,2025-08-13 10:20:11.746002,Updated today,2025-08-13 12:00:00.000000,True,premium,['text_premium'],3,2,4 BHK,Semi-Furnished,3 out of 4,,,Ready to Move,,,Freehold,Resale,,86.4,[],True
4 BHK Apartment for Sale in Sector 112 Gurgaon,8 Cr,4800 sqft,https://www.magicbricks.com/experion-windchants-sector-112-gurgaon-pdpid-4d4235303232333739,3,24,2025-08-13 10:20:11.747462,Updated 5 hours ago,2025-08-13 05:20:11.746447,True,premium,['text_premium'],4,3,4 BHK,Semi-Furnished,15 out of 25,,Experion Windchants,Ready to Move,East,3 Covered,Freehold,Resale,"Garden/Park, Pool, Main Road",109.1,[],True
3 BHK Builder Floor for Sale in Block A Sector 47 Gurgaon,2.85 Cr,175 sqyrd,,3,25,2025-08-13 10:20:11.750927,Updated 5 hours ago,2025-08-13 05:20:11.749836,True,premium,['text_premium'],3,2,3 BHK,Semi-Furnished,3 out of 4,,,Ready to Move,South - East,,Freehold,Resale,"Garden/Park, Main Road",95.5,[],True
Plot/Land for Sale in New Palam Vihar Sector 110 Gurgaon,5.25 Cr,4500 sqft,,3,26,2025-08-13 10:20:11.754125,Updated 5 hours ago,2025-08-13 05:20:11.753194,True,premium,['text_premium'],,,Plot,,,,,,9 m,,Freehold,Resale,"Garden/Park, Main Road",72.7,[],True
