title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,data_quality_score,validation_issues,is_valid
2 BHK Apartment for Sale in Sector 61 Gurgaon,2.28 Cr,1365 sqft,https://www.magicbricks.com/pioneer-park-sector-61-gurgaon-pdpid-4d4235303139363432,1,15,2025-08-12 11:02:18.591466,Updated today,2025-08-12 12:00:00.000000,2,,2 BHK,Semi-Furnished,6 out of 20,,Pioneer Park,Ready to Move,,1 Covered,,Resale,,89.5,[],True
3 BHK Builder Floor for Sale in Sector 36 Sohna Gurgaon,1.10 Cr,1120 sqft,https://www.magicbricks.com/signature-global-park-4-and-5-sohna-sector-36-gurgaon-pdpid-4d4235323036343435,1,16,2025-08-12 11:02:18.593324,Updated today,2025-08-12 12:00:00.000000,3,,3 BHK,Semi-Furnished,1 out of 3,,Signature Global Park 4 and 5,Ready to Move,,,,Resale,,84.2,[],True
4 BHK Builder Floor for Sale in Sector 63A Gurgaon,3.15 Cr,1776 sqft,https://www.magicbricks.com/anant-raj-estate-sector-63a-gurgaon-pdpid-4d4235303233383439,1,17,2025-08-12 11:02:18.596360,Updated today,2025-08-12 12:00:00.000000,4,2,4 BHK,Semi-Furnished,2 out of 4,,Anant Raj Estate,Ready to Move,South,,Freehold,New Property,Main Road,105.3,[],True
Plot/Land for Sale in Sector 109 Gurgaon,9.38 Cr,4968 sqft,https://www.magicbricks.com/experion-the-westerlies-sector-109-gurgaon-pdpid-4d4235303131353736,1,19,2025-08-12 11:02:18.598281,Updated today,2025-08-12 12:00:00.000000,,,Plot,,,,Experion The Westerlies,,75 m,,,Resale,,68.4,[],True
3 BHK Apartment for Sale in Sector 111 Gurgaon,5.20 Cr,1800 sqft,https://www.magicbricks.com/puri-diplomatic-residences-sector-111-gurgaon-pdpid-4d4235343139333031,1,20,2025-08-12 11:02:18.600390,Posted: Yesterday,2025-08-11 12:00:00.000000,3,3,3 BHK,Semi-Furnished,30 out of 33,,Puri Diplomatic Residences,,,2 Covered,Freehold,Resale,"Garden/Park, Pool, Main Road",100.0,[],True
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.80 Cr,2238 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,22,2025-08-12 11:02:18.602675,Updated today,2025-08-12 12:00:00.000000,3,4,3 BHK,Unfurnished,9 out of 30,,Godrej Aristocrat,,East,2 Covered,Freehold,Resale,Garden/Park,105.3,[],True
4 BHK Builder Floor for Sale in Sector 66 Gurgaon,5.35 Cr,1542 sqft,https://www.magicbricks.com/emaar-mgf-marbella-sector-66-gurgaon-pdpid-4d4235303232343438,1,23,2025-08-12 11:02:18.604052,Updated today,2025-08-12 12:00:00.000000,3,3,4 BHK,Semi-Furnished,2 out of 4,,Emaar MGF Marbella,Ready to Move,,,,Resale,,89.5,[],True
3 BHK Apartment for Sale in Sector 49 Gurgaon,4.12 Cr,1993 sqft,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,1,24,2025-08-12 11:02:18.605541,Updated today,2025-08-12 12:00:00.000000,3,1,3 BHK,Furnished,23 out of 32,,Godrej Aristocrat,,,,,Resale,,84.2,[],True
3 BHK Apartment for Sale in Gwal Pahari Gurgaon,1.52 Cr,1300 sqft,https://www.magicbricks.com/ansal-valley-view-estate-gwal-pahari-gurgaon-pdpid-4d4235303031323039,1,27,2025-08-12 11:02:18.608930,Updated 6 hours ago,2025-08-12 05:02:18.607754,2,2,3 BHK,Semi-Furnished,1 out of 17,,Ansal Valley View Estate,Ready to Move,North,1 Open,Freehold,Resale,,105.3,[],True
2 BHK Builder Floor for Sale in Sector 82 Gurgaon,1.30 Cr,1133 sqft,https://www.magicbricks.com/vatika-india-next-sector-82-gurgaon-pdpid-4d4235303030303336,1,28,2025-08-12 11:02:18.610622,Updated 6 hours ago,2025-08-12 05:02:18.609543,2,3,2 BHK,Semi-Furnished,2 out of 2,,Vatika India Next,Ready to Move,South,,Freehold,Resale,Garden/Park,105.3,[],True
